   10.8000031     -0.998339534      -7.27548027       143.600006    
   10.8000031      -1.05973077      -7.25327587       179.499359    
   10.8000031     -0.696024358      -7.36596537       215.398712    
   10.8000031      -1.00221753      -7.06046724       251.298065    
   10.8000031     -0.690879822      -7.20418882       287.198730    
   10.8000031      -1.13276899      -6.97564316       323.099609    
   10.8000031     -0.849651098      -6.85011292       359.000488    
   10.9000034      0.954929650       0.00000000    
   10.9000034     -0.840428174      -7.43029022       35.8999863    
   10.9000034      -9.46504846E-02  -8.11025333       71.8001022    
   10.9000034      -1.12641740      -7.41945744       107.700218    
   10.9000034      -1.89414811      -8.09044933       143.600006    
   10.9000034     -0.384650588      -7.81248569       179.499359    
   10.9000034      -1.83453226      -7.98240519       215.398712    
   10.9000034     -0.750604212      -7.23183060       251.298065    
   10.9000034     -0.534493685      -7.42840338       287.198730    
   10.9000034      -1.20344388      -7.08544302       323.099609    
   10.9000034      -1.06350708      -6.82773161       359.000488    
   11.0000038      0.954929650       0.00000000    
   11.0000038     -0.967274725      -7.38161230       35.8999863    
   11.0000038     -0.716609597      -7.54427814       71.8001022    
   11.0000038      -1.75239062      -8.07738590       107.700218    
   11.0000038     -0.894998372      -7.35397339       143.600006    
   11.0000038      -1.30345356      -7.55930281       179.499359    
   11.0000038      -1.11249757      -7.26654339       215.398712    
   11.0000038     -0.200018436      -7.87248850       251.298065    
   11.0000038     -0.165044844      -7.83660221       287.198730    
   11.0000038      -1.16422117      -7.05886745       323.099609    
   11.0000038      -1.27020240      -7.09396887       359.000488    
   11.1000042      0.954929650       0.00000000    
   11.1000042      -1.19617474      -7.56571913       35.8999863    
   11.1000042     -0.949957848      -7.39325094       71.8001022    
   11.1000042     -0.695874989      -7.56165028       107.700218    
   11.1000042      -1.63745415      -7.99168921       143.600006    
   11.1000042     -0.616424382      -7.57336569       179.499359    
   11.1000042     -0.586049795      -7.54853964       215.398712    
   11.1000042      -1.49927700      -7.67323303       251.298065    
   11.1000042      -1.68094897      -7.78897572       287.198730    
   11.1000042      -1.06517053      -6.98254156       323.099609    
   11.1000042      -1.39590955      -7.29115391       359.000488    
   11.2000046      0.954929650       0.00000000    
   11.2000046      -1.42268789      -7.84939337       35.8999863    
   11.2000046      -1.36876953      -7.77469063       71.8001022    
   11.2000046      -1.08500934      -7.43254089       107.700218    
   11.2000046     -0.737325728      -7.50627947       143.600006    
   11.2000046      -1.44175136      -7.76577902       179.499359    
   11.2000046      -1.64247406      -7.91382265       215.398712    
   11.2000046      -1.08861399      -7.19409847       251.298065    
   11.2000046      -1.50685835      -7.63064051       287.198730    
   11.2000046      -1.09417665      -7.02878904       323.099609    
   11.2000046      -1.65182781      -7.62759829       359.000488    
   11.3000050      0.954929650       0.00000000    
   11.3000050      -1.59273827      -8.03470707       35.8999863    
   11.3000050      -1.71424377      -8.11424065       71.8001022    
   11.3000050      -1.67685115      -8.07559776       107.700218    
   11.3000050      -1.36645854      -7.73716259       143.600006    
   11.3000050     -0.702205479      -7.50994873       179.499359    
   11.3000050     -0.951363266      -7.25388050       215.398712    
   11.3000050     -0.670820951      -7.40383101       251.298065    
   11.3000050      -1.09399915      -7.13743019       287.198730    
   11.3000050     -0.942713678      -7.00566292       323.099609    
   11.3000050      -1.68145835      -7.67236948       359.000488    
   11.4000053      0.954929650       0.00000000    
   11.4000053      -1.76353502      -8.15917969       35.8999863    
   11.4000053     -0.422854424      -7.92379522       71.8001022    
   11.4000053     -0.621963859      -7.68959522       107.700218    
   11.4000053     -0.399274796      -7.90662766       143.600006    
   11.4000053      -1.50870287      -7.86988115       179.499359    
   11.4000053     -0.335472316      -7.88108206       215.398712    
   11.4000053      -1.96911192      -8.01540947       251.298065    
   11.4000053     -0.897070289      -7.14064741       287.198730    
   11.4000053     -0.908609867      -7.04695654       323.099609    
   11.4000053      -1.88441801      -7.81107998       359.000488    
   11.5000057      0.954929650       0.00000000    
   11.5000057     -0.205860376      -8.12992191       35.8999863    
   11.5000057     -0.817720413      -7.53723145       71.8001022    
   11.5000057      -1.00531983      -7.43255520       107.700218    
   11.5000057      -1.03709447      -7.41492081       143.600006    
   11.5000057     -0.777051628      -7.47183561       179.499359    
   11.5000057      -1.43759847      -7.74869204       215.398712    
   11.5000057      -1.42354667      -7.65351057       251.298065    
   11.5000057     -0.711243510      -7.32185936       287.198730    
   11.5000057     -0.860061169      -7.10034323       323.099609    
   11.5000057     -0.117800273      -7.80551720       359.000488    
   11.6000061      0.954929650       0.00000000    
   11.6000061     -0.478197455      -7.90017986       35.8999863    
   11.6000061      -1.04305077      -7.48703766       71.8001022    
   11.6000061      -1.60736871      -8.05949879       107.700218    
   11.6000061      -1.82061028      -8.15758896       143.600006    
   11.6000061      -1.58357751      -7.97245407       179.499359    
   11.6000061     -0.815453708      -7.38803148       215.398712    
   11.6000061     -0.924789250      -7.23924541       251.298065    
   11.6000061     -0.352446407      -7.76977444       287.198730    
   11.6000061     -0.777330935      -7.18448067       323.099609    
   11.6000061     -0.259638399      -7.72176695       359.000488    
   11.7000065      0.954929650       0.00000000    
   11.7000065     -0.738749743      -7.63981915       35.8999863    
   11.7000065      -1.39423800      -7.87797928       71.8001022    
   11.7000065     -0.366420060      -8.00008488       107.700218    
   11.7000065     -0.797095656      -7.53352213       143.600006    
   11.7000065     -0.753845990      -7.52323627       179.499359    
   11.7000065      -1.73344266      -8.04549885       215.398712    
   11.7000065     -0.353098154      -7.84030819       251.298065    
   11.7000065      -1.64564443      -7.85992718       287.198730    
   11.7000065     -0.561659038      -7.46437073       323.099609    
   11.7000065     -0.172927782      -7.80540609       359.000488    
   11.8000069      0.954929650       0.00000000    
   11.8000069     -0.855840445      -7.56502104       35.8999863    
   11.8000069      -1.78576660      -8.20502758       71.8001022    
   11.8000069     -0.916117311      -7.51096106       107.700218    
   11.8000069      -1.53641796      -7.99670124       143.600006    
   11.8000069      -1.64378941      -8.05133152       179.499359    
   11.8000069      -1.13079453      -7.43070316       215.398712    
